155 : 71 : 74, 55, -29, -26
229 : 28 : 43, 29, -22, -7
163 : 102 : 35, 113, -98, -15
154 : 75 : 71, 54, -25, -29
233 : 27 : 40, 33, -23, -10
178 : 82 : 40, 128, -118, -10
161 : 90 : 49, 61, -10, -51
229 : 42 : 29, 29, -8, -21
174 : 96 : 30, 124, -104, -20
42 : 208 : 50, -58, 108, -50
73 : 209 : 18, -127, 159, -32
24 : 253 : 23, -26, 53, -27
36 : 231 : 33, -64, 131, -67
82 : 201 : 17, -118, 151, -33
21 : 260 : 19, -29, 60, -31
44 : 220 : 36, -56, 120, -64
85 : 200 : 15, -115, 150, -35
19 : 266 : 15, -31, 66, -35
43 : 91 : 166, -57, -9, 66
75 : 145 : 80, -125, 95, 30
22 : 95 : 183, -28, -105, 133
75 : 74 : 151, -25, -26, 51
144 : 70 : 86, -56, 20, 36
39 : 99 : 162, -11, -101, 112
78 : 71 : 151, -22, -29, 51
156 : 64 : 80, -44, 14, 30
33 : 76 : 191, -17, -124, 141
